Ground Truth Height,Predicted Height,Absolute Height Error Percentage
1.63,1.61874589003274,0.69043619431042
1.71,1.69198789408335,1.05333952728946
1.63,1.6984182534623,4.1974388627178
1.65,1.71146703650829,3.72527493989637
1.58,1.69606823533273,7.34609084384367
1.64,1.64376579496794,0.229621644386582
1.59,1.59033370366267,0.020987651740269
1.63,1.69908552443073,4.23837573194664
1.58,1.58967445427737,0.612307232744931
1.88,1.72458106127674,8.26696482570531
1.8,1.70842829218567,5.08731710079612
1.68,1.71681122580421,2.19114439310772
1.67,1.69070318901877,1.23971191729162
1.79,1.72378691682829,3.69905492579386
1.75,1.74398718498572,0.343589429387427
1.81,1.76269500533176,2.61353561702983
1.8,1.75661605914927,2.41021893615166
1.63,1.67090150828608,2.50929498687609
1.57,1.67914428927947,6.95186555920191
1.75,1.76377485558103,0.787134604630284
1.71,1.74558859946689,2.08120464718655
1.83,1.71284910312749,6.40168835368908
1.79,1.70855179187232,4.55017922501005
1.83,1.77052349100846,3.2500824585541
1.75,1.8289876143816,4.51357796466286
1.71,1.71009305823765,0.005442002201751
1.62,1.69100482599124,4.38301395007654
1.8,1.83395815565036,1.88656420279778
1.8,1.84441863613033,2.46770200724054
1.7,1.65148913867545,2.85358007791472
1.61,1.67248461213372,3.88103180954784
1.61,1.71788358162378,6.70084357911677
1.61,1.7285721086579,7.36472724583231
1.87,1.70297994202084,8.93155390262888
1.82,1.70842829218567,6.13031361617198
1.7,1.70303254574143,0.178385043613528
1.64,1.69276107641237,3.21713880563231
1.65,1.66437339913444,0.871115099056978
1.64,1.67506070732309,2.13784800750549
1.6,1.67679106490729,4.79944155670561
1.52,1.67240347454285,10.0265443778191
1.72,1.6759610688984,2.56040297102326
1.66,1.64608428044921,0.838296358481336
1.81,1.7074615073455,5.66511009140883
1.77,1.72358662831987,2.62222438870791
1.78,1.73944372935859,2.27844217086573
1.69,1.74865715711814,3.47083769929823
1.68,1.69229317121917,0.731736382093443
1.63,1.68076220929073,3.11424596875645
1.78,1.73729391452812,2.39921828493707
1.75,1.75995281064808,0.56873203703314
1.7,1.54879539215613,8.89438869669825
1.65,1.56630241332806,5.0725810104206
1.72,1.58863824735502,7.63731120028953
1.7,1.56288453751407,8.06561544034883
1.77,1.70842458651219,3.47883692021526
1.67,1.73523867893772,3.90650772082157
1.78,1.72149783663033,3.2866383915545
1.77,1.69773515981067,4.08275933273051
1.8,1.7931027714203,0.383179365538888
1.78,1.78448307248898,0.251858004998873
1.84,1.72773839262198,6.10117431402282
1.8,1.72055489367616,4.41361701799111
1.63,1.67906047596808,3.00984515141595
1.59,1.68136309519758,5.74610661620001
1.64,1.68980066950866,3.03662618955243
1.62,1.70556257115287,5.28164019462159
1.83,1.74534098011205,4.62617595016121
1.74,1.72756990851529,0.714373073833906
1.81,1.71480841780297,5.2592034363
1.76,1.70115277376455,3.34359239974148
1.62,1.70942162732713,5.51985353871173
1.59,1.70842829218567,7.44832026324969
1.69,1.61109542952591,4.66890949550827
1.61,1.6644642120099,3.38287031117392
1.74,1.69610411388192,2.52275207575173
1.66,1.70410570794659,2.6569703582283
1.81,1.70842829218567,5.61169656432763
1.73,1.74327581096175,0.767387916864156
1.69,1.67736160634263,0.747833944223075
1.64,1.6698081667884,1.81757114563415
1.66,1.70289630879207,2.58411498747409
1.63,1.71096376743918,4.96710229688222
1.7,1.69264530470562,0.432629134963538
1.61,1.68331118761688,4.55348991409194
1.75,1.72234215876131,1.58044807078228
1.67,1.70137654531945,1.87883504906887
1.64,1.68976659675972,3.03454858290975
1.62,1.64643660433489,1.63188915647469
1.85,1.7724198806166,4.19351996667027
1.76,1.75904925106071,0.054019826096019
1.71,1.71354064259559,0.207055122549133
1.68,1.66460169280641,0.916565904380366
1.65,1.60268190248775,2.86776348559091
1.55,1.61199839785487,3.99989663579806
1.86,1.71090804514062,8.01569649781612
1.79,1.79221920344729,0.123977846217311
1.79,1.71223505865625,4.34441013093575
1.77,1.72107003348876,2.76440488764069
1.74,1.71343494608925,1.52672723625
1.66,1.70526192620071,2.72662206028373
1.81,1.73859449545006,3.94505549999668
1.75,1.70099416244075,2.80033357481429
1.63,1.61142585486769,1.13951810627668
1.55,1.70842829218567,10.221180141011
1.76,1.73274651906107,1.54849323516648
1.73,1.72990995304092,0.005205026536409
1.7,1.70842829218567,0.495781893274692
1.65,1.67655518764663,1.60940531191698
1.86,1.70413470652546,8.37985448787849
1.8,1.7302725106673,3.87374940737222
1.81,1.72579025424897,4.65247214094088
1.81,1.73581425793933,4.09865978235747
1.61,1.7112181856442,6.28684382883232
1.55,1.70527545892904,10.017771543809
1.83,1.74987415516615,4.37846146633061
1.8,1.73390760453773,3.67179974790389
1.74,1.6932095528023,2.68910616078736
1.73,1.72377413444535,0.359876621656062
1.82,1.72051743819386,5.46607482451319
1.75,1.70842829218567,2.37552616081886
1.81,1.7359077432316,4.09349484908288
1.77,1.73821745082097,1.79562424740283
1.69,1.63661384592058,3.15894402836805
1.64,1.6865777739189,2.84010816578658
1.63,1.68174344477516,3.17444446473375
1.54,1.66312377588487,7.99505038213442
1.73,1.72605327564009,0.228134356064152
