Ground Truth Height,Predicted Height,Absolute Height Error Percentage
1.66,1.65690701991314,0.186324101618085
1.58,1.63057447004096,3.20091582537722
1.72,1.66814764628696,3.01467172750232
1.66,1.64500654621852,0.903220107318071
1.63,1.65256964562275,1.38464083575155
1.62,1.68166848682748,3.80669671774567
1.61,1.64988134079964,2.47710191302113
1.56,1.62590973304398,4.22498288743461
1.82,1.78869904197896,1.7198328582989
1.81,1.69874771172147,6.14653526400719
1.63,1.63518487222415,0.318090320500006
1.61,1.65425117717303,2.74852032130622
1.84,1.76180095567967,4.24994806088749
1.8,1.75595957610581,2.44669021634389
1.89,1.77511249873615,6.07870377057408
1.81,1.78430807518219,1.4194433601
1.74,1.71013395681851,1.71643926330402
1.71,1.6723269854121,2.20310026829825
1.64,1.66266210391426,1.38183560452804
1.57,1.65572067591848,5.45991566359744
1.64,1.65493606433946,0.910735630454867
1.57,1.64944246496995,5.06002961592038
1.76,1.75376146557608,0.354462183177271
1.67,1.74303574057147,4.37339763901019
1.65,1.64818759356733,0.109842814101205
1.6,1.63840235863363,2.40014741460187
1.87,1.76959431153609,5.36928815315028
1.86,1.75647275957888,5.56598066780214
1.68,1.63831739896995,2.48110720416965
1.67,1.6743484850601,0.260388326952102
1.74,1.65721964593734,4.75749161279655
1.66,1.64365500049216,0.984638524568686
1.87,1.74386549471641,6.74516071035241
1.79,1.74003429771645,2.79138001584078
1.66,1.60984899744308,3.02114473234458
1.65,1.63028091697243,1.19509594106485
1.66,1.6754658168677,0.931675714921686
1.6,1.66508250613241,4.06765663327563
1.73,1.62923053445948,5.82482459771792
1.69,1.6251074019273,3.83979870252663
1.89,1.73067155939208,8.43007622264128
1.81,1.72360995260888,4.77293079508951
1.75,1.75755591065813,0.431766323321714
1.7,1.74571232987115,2.68896058065588
1.73,1.67519915408774,3.16767895446589
1.65,1.63217382646117,1.08037415386848
1.68,1.69874771172147,1.11593522151606
1.62,1.64305386128824,1.42307785729875
1.79,1.75623497475207,1.88631425966089
1.75,1.73135409593919,1.06548023204629
1.67,1.6334163108365,2.19064006967065
1.6,1.63745643923101,2.34102745193812
1.65,1.62817217267785,1.32289862558484
1.6,1.62156054424063,1.34753401503937
1.84,1.76199893233626,4.23918845998587
1.77,1.76554557389274,0.251662491935599
1.73,1.74811355198343,1.04702612620983
1.66,1.7582852948707,5.9208008958253
1.78,1.77609180665077,0.219561424114044
1.74,1.73996235815567,0.00216332438678
1.68,1.65836160510852,1.28799969592144
1.58,1.62185690759742,2.64917136692532
1.75,1.75819519970712,0.468297126121137
1.71,1.73971144970012,1.7375116783696
1.65,1.64337277562049,0.401649962394547
1.58,1.64811160493752,4.31086107199493
1.68,1.6314572652856,2.88944849490478
1.67,1.6282244753265,2.50152842356287
1.78,1.76757798838365,0.697865821143261
1.68,1.74008369016825,3.57641012906249
1.8,1.76338053839356,2.03441453369111
1.71,1.77282805348967,3.67415517483451
1.87,1.7841799824949,4.58930574893583
1.79,1.7858449287899,0.232126883245807
1.75,1.74537505464282,0.26428259183886
1.69,1.74153258217803,3.04926521763492
1.64,1.69874771172147,3.58217754399206
1.57,1.64257102857198,4.62235850776943
1.61,1.65008038958988,2.48946519191801
1.56,1.63624275102809,4.88735583513398
1.66,1.76688536621925,6.43887748308733
1.59,1.63117099527705,2.58937077214153
1.86,1.75075726883118,5.87326511660321
1.8,1.7523308876302,2.64828402054444
1.72,1.74163861139835,1.25805880222965
1.64,1.73070927474226,5.53105333794268
1.81,1.77670066666954,1.8397421729536
1.75,1.76614729618943,0.922702639396
1.75,1.77634302868097,1.50531592462686
1.75,1.69874771172147,2.92870218734457
1.63,1.65757767322782,1.6918817931178
1.56,1.64931336425896,5.72521565762565
1.74,1.64283086893041,5.58443282009139
1.65,1.69874771172147,2.95440677099819
1.81,1.74053942919238,3.83760059710608
1.73,1.75416384938957,1.39675429997514
1.7,1.65590460017485,2.59384704853825
1.61,1.65192669537024,2.60414256958014
1.73,1.65012072657154,4.61729904210751
1.65,1.64394612455476,0.366901542135754
1.61,1.66961533476963,3.70281582420063
1.6,1.65604884174257,3.50305260891062
